account_id,currency,current_balance,bank_name,account_type,iban,swift_code,last_updated,minimum_balance,optimal_balance
ACC001,KZT,479861.99,JP Morgan,reserve,GB35NSQO49210016197763,OJZFGBWFRTP,2026-05-17 11:54:39,115972.4,347917.19
ACC002,GBP,409585.67,Kaspi Bank,settlement,GB67UFVL02741498365680,PLMZGBMGYUC,2026-05-17 11:54:39,81917.13,245751.4
ACC003,KZT,612322.32,Halyk Bank,nostro,GB21EKAE51458927096288,FIIFGBU2T6P,2026-05-17 11:54:39,122464.47,367393.4
ACC004,KZT,2855702.55,Deutsche Bank,settlement,GB33LZNR98994198397584,IQHQGBWCET5,2026-05-17 11:54:39,571140.51,1713421.53
ACC005,GBP,436014.64,HSBC,settlement,GB35SLHP30918808909747,TJUHGBAG,2026-05-17 11:54:39,87202.93,261608.78
ACC006,GBP,644507.56,HSBC,settlement,GB78YHWJ97223549802662,ULMAGBOH,2026-05-17 11:54:39,128901.51,386704.54
ACC007,EUR,769847.0,Bank of America,reserve,GB70RXLC39992329569233,NZVLGBGE,2026-05-17 11:54:39,153969.4,461908.2
ACC008,USD,595032.98,Citibank,reserve,GB28AQUK89623636217802,GTYEGBD9,2026-05-17 11:54:39,119006.6,357019.79
ACC009,KZT,1078691.87,HSBC,correspondent,GB92YPUB14775405607410,UPWKGBP0,2026-05-17 11:54:39,215738.37,647215.12
ACC010,USD,2082938.39,JP Morgan,correspondent,GB69JKWZ35231485372024,EVIIGBO7ART,2026-05-17 11:54:39,416587.68,1249763.03
ACC011,GBP,583454.69,HSBC,reserve,GB93ONLW59568855933966,VJGHGBVQXWV,2026-05-17 11:54:39,116690.94,350072.81
ACC012,EUR,263614.34,Halyk Bank,nostro,GB82BHPN54161225766766,SDCVGBVWZPH,2026-05-17 11:54:39,52722.87,158168.6
ACC013,GBP,2431850.62,Deutsche Bank,nostro,GB02VMGM61650958600747,BQXQGBDQ,2026-05-17 11:54:39,486370.12,1459110.37
ACC014,EUR,66798.81,Kaspi Bank,nostro,GB21DFOC94957602120914,GNKWGBMM,2026-05-17 11:54:39,13359.76,40079.29
ACC015,USD,166545.84,Halyk Bank,reserve,GB52YTXS05147736689489,YHPAGBQRVYR,2026-05-17 11:54:39,33309.17,99927.5
ACC016,USD,609857.68,Citibank,correspondent,GB32DEIY73213229124515,LMFSGBI1I1U,2026-05-17 11:54:39,121971.54,365914.61
ACC017,EUR,162329.36,Citibank,settlement,GB15UGRP09342125885035,UIIXGB0L8ZJ,2026-05-17 11:54:39,32465.87,97397.62
ACC018,USD,429546.95,Deutsche Bank,correspondent,GB56JTHG46648003770447,UYWQGB4P,2026-05-17 11:54:39,85909.39,257728.17
ACC019,GBP,449542.1,HSBC,nostro,GB74QHXG00982542500281,ECSVGBAD1HI,2026-05-17 11:54:39,89908.42,269725.26
ACC020,KZT,94319.46,Deutsche Bank,nostro,GB29PFLV51387539843905,ZJSKGBCEDCG,2026-05-17 11:54:39,18863.89,56591.68
